DOE No., Pt_in [Pa], Pt_out [Pa], del_Pt [Pa], Head[m], VolumeFlowRate, RPM, Torque [N m], Eff [%]
591, -0.117186821997166, 99713.375, 99713.4921875, 10.1679458618164, 25.1994457244873, 1596, -4.55089855194092, 91.7664108276367
592, -2.68847823143005, 61786.64453125, 61789.33203125, 6.30075788497925, 35.704029083252, 1326, -5.18060493469238, 85.1874618530273
593, -2.36896800994873, 67726.4921875, 67728.859375, 6.90642118453979, 38.3987159729004, 1503, -5.51266288757324, 83.2604827880859
594, -2.31301236152649, 77136.3046875, 77138.6171875, 7.8659496307373, 32.5030097961426, 1432, -5.24169588088989, 88.6032104492188
595, 1.2644921541214, 19568.400390625, 19567.13671875, 1.99529254436493, 18.1999855041504, 1495, -1.01623177528381, 62.177490234375
596, -1.65751922130585, 44347.08984375, 44348.74609375, 4.52231359481812, 25.7009429931641, 1268, -2.82429170608521, 84.4248886108398
597, -0.51407265663147, 66159.734375, 66160.25, 6.74646759033203, 36.0997734069824, 1009.00006103516, -6.85837650299072, 91.549919128418
598, 0.491120189428329, 42813.8828125, 42813.390625, 4.36575078964233, 17.100040435791, 1581.99987792969, -1.46867072582245, 83.5823745727539
599, 3.43245625495911, 99759.78125, 99756.3515625, 10.1723165512085, 30.8999729156494, 1240.99987792969, -6.99716758728027, 94.1615295410156
600, 0.476558029651642, 16647.84765625, 16647.37109375, 1.69755935668945, 24.7007217407227, 1739.99987792969, -1.13713121414185, 55.1269989013672
601, -2.74985957145691, 87140.1796875, 87142.9296875, 8.88610553741455, 26.5992527008057, 1794.00012207031, -3.94779324531555, 86.8147659301758
602, -0.51002836227417, 34602.203125, 34602.71484375, 3.5284948348999, 35.0012168884277, 1574.00012207031, -3.10700154304504, 65.6925354003906
603, -0.376586765050888, 47592.359375, 47592.734375, 4.85310792922974, 29.69997215271, 1696, -2.92795324325562, 75.5049896240234
604, -0.470485121011734, 15852.5400390625, 15853.0107421875, 1.61655712127686, 37.3999900817871, 1435, -1.9303994178772, 56.7744598388672
605, -0.940220177173615, 16634.958984375, 16635.8984375, 1.6963894367218, 38.6999168395996, 1184, -2.609539270401, 55.2725677490234
